player,xg,goals,attempts
Erling Haaland,8.869882768880771,18,64
Jean-Philippe Mateta,5.645121464818786,4,43
Dominic Calvert-Lewin,5.010681073294499,6,32
Bryan Mbeumo,4.714587269896845,6,42
Nick Woltemade,4.613195639360395,6,25
Bruno Fernandes,4.610414962453597,3,41
Jarrod Bowen,4.557361655844913,5,43
Mohamed Salah,4.42713434674168,3,34
Morgan Gibbs-White,4.37436447319449,3,34
Evanilson,4.323234830429538,2,29
Thiago,4.3169100471267825,6,29
Cody Gakpo,4.147042037284295,4,36
Viktor Gyökeres,4.12827888992334,3,22
Wilson Isidor,4.091251765153453,4,30
Ollie Watkins,4.056192277494577,3,28
Antoine Semenyo,4.042948175833585,7,36
Leandro Trossard,4.033178224297086,4,21
Matheus Cunha,3.9786530260765907,2,41
Richarlison,3.7873053228371134,7,27
Raúl Jiménez,3.734150040123868,2,23
Hugo Ekitike,3.643022186763249,8,31
Enzo Fernández,3.5222741340146584,3,31
Danny Welbeck,3.4677558234526904,7,24
Amad Diallo,3.4356891665190537,2,28
Phil Foden,3.4164165730381866,7,34
Marcus Tavernier,3.3848130620393873,3,32
Jurriën Timber,3.3173610990294606,2,18
Igor Jesus,3.293936439826147,1,28
Georginio Rutter,3.2711727622294346,1,27
Donyell Malen,3.257564117036604,4,24
João Pedro,3.2373058244422075,5,26
Ismaila Sarr,3.232891667411592,3,18
Pedro Neto,3.1182909066471325,5,28
Diego Gómez,3.1120102534563205,2,21
Casemiro,3.0835256705210607,4,24
Tijjani Reijnders,3.0199090906362414,3,30
Thierno Barry,3.017872538273895,1,16
Bukayo Saka,3.0035248768926466,3,33
Dango Ouattara,2.9818871276646592,3,24
Jack Grealish,2.9443581996474197,2,19
Yankuba Minteh,2.937812416714846,1,27
Daniel Ballard,2.924602848417471,2,16
Riccardo Calafiori,2.913179385366561,1,22
Noah Okafor,2.8964956597331586,2,16
Anton Stach,2.895203511668259,3,29
Jacob Murphy,2.8894724836248575,2,30
Benjamin Šeško,2.8541945362788965,2,18
David Brooks,2.802076703122516,0,28
Jhon Arias,2.800988870576331,0,14
Brenden Aaronson,2.7275989922163215,1,20
Kevin Schade,2.7202126427782507,3,22
Harvey Barnes,2.6560025968021983,3,21
Beto,2.646387921453181,1,17
Tomáš Souček,2.6308568247769735,2,10
Morgan Rogers,2.617517114983414,5,24
Chris Wood,2.601674914672048,2,16
Yeremi Pino,2.55826051049467,1,23
Eberechi Eze,2.556023659216298,4,31
Callum Wilson,2.5479240354791317,4,16
Mikel Merino,2.4927548085539772,3,13
Dominik Szoboszlai,2.3417824450261935,2,31
Harry Wilson,2.3370302858668324,5,29
Crysencio Summerville,2.3237778590492826,0,18
Iliman Ndiaye,2.315485784518705,3,19
Daniel Muñoz,2.312484421618209,3,15
Jaidon Anthony,2.3058779888605825,4,17
Alejandro Garnacho,2.3026973108083815,1,20
Emi Buendía,2.2960380885902483,4,19
Mohammed Kudus,2.269854800721049,2,23
Jeremy Doku,2.2629130205461636,1,15
Joshua Zirkzee,2.2387427434742015,1,14
Matthijs de Ligt,2.2051536556651645,1,11
Marc Guiu,2.165908642317497,0,12
Bruno Guimarães,2.1146065303533774,5,23
Emile Smith Rowe,2.087684294591271,3,15
James Garner,2.0529965496197082,1,25
Joško Gvardiol,2.0447739164567547,2,12
Declan Rice,2.018829274029941,2,22
Alexis Mac Allister,1.9846689070163124,0,22
Yasin Ayari,1.9833672486239478,1,28
Trevoh Chalobah,1.9826021312009232,3,12
Eli Junior Kroupi,1.9649368259005198,5,16
Lukas Nmecha,1.9478658384731913,3,12
Randal Kolo Muani,1.9349835586408477,0,10
Rodrigo Muniz,1.9251062743938154,1,10
Gabriel Martinelli,1.911108171404494,1,11
Estêvão Willian,1.9087543210682427,1,15
Omari Hutchinson,1.9060531496774056,0,14
Florian Wirtz,1.8964316199060767,0,20
Gabriel Gudmundsson,1.8850692666829296,0,11
Pascal Struijk,1.8491473033969934,0,17
Alexander Isak,1.847391748648331,2,15
Kiernan Dewsbury-Hall,1.8450258232507597,4,17
Brajan Gruda,1.8148636266100644,1,14
Zian Flemming,1.7974321428678866,3,16
Eddie Nketiah,1.7481252970953498,2,15
Mason Mount,1.6941603993878858,3,15
Jan Paul van Hecke,1.6874073288281985,3,12
Marshall Munetsi,1.6693476374036595,1,14
Anthony Gordon,1.6646158062361547,0,18
Nico O’Reilly,1.658618711932165,1,15
Joshua King,1.6503353731255068,0,15
Callum Hudson-Odoi,1.6482135314810475,3,15
Sepp van den Berg,1.59158557975914,0,10
Sávio,1.5604789996797028,0,9
Lyle Foster,1.5563681193553054,2,13
Jørgen Strand Larsen,1.5432114474975398,0,15
Cole Palmer,1.5299537928403526,2,13
Federico Chiesa,1.5223012253054564,2,12
João Palhinha,1.5031489006333338,2,13
Daniel James,1.484241812667096,0,10
Samuel Chukwueze,1.4687918645719158,2,11
Charalampos Kostoulas,1.4618795599037926,1,10
Marc Guéhi,1.4447795709988143,2,10
Joe Rodon,1.4409432538632645,2,12
Micky van de Ven,1.4178708764865267,3,10
Omar Marmoush,1.417550439156015,0,9
Marc Cucurella,1.4068264225047773,0,12
Michael Keane,1.4021677436591828,2,12
Wilson Odobert,1.3898121567467567,0,9
Jayden Bogle,1.3833288820754412,0,9
Mats Wieffer,1.3738331997445379,0,10
Malick Thiaw,1.3686940426324177,2,10
Gabriel Magalhães,1.3562497462753218,1,8
Nathan Collins,1.3493547343975072,0,9
Elliot Anderson,1.3382171563052887,0,16
Lesley Ugochukwu,1.3329653680853033,3,15
Neco Williams,1.317809797475829,1,15
Lucas Paquetá,1.315539780619256,2,18
Chemsdine Talbi,1.3109947310237162,2,13
Rodrigo Gomes,1.2951423685733596,1,11
Alex Iwobi,1.276943574222782,2,18
Daichi Kamada,1.272013153087322,0,12
Youri Tielemans,1.2651521910028274,0,13
Bertrand Traoré,1.2588723100273302,1,13
Tolu Arokodare,1.255906710510291,1,11
Noni Madueke,1.251564194861095,0,8
Reece James,1.250271517796141,2,14
Omar Alderete,1.2496554381690141,1,12
Alex Scott,1.216638459268999,1,17
Kyle Walker-Peters,1.2138930534732633,1,4
Josh Cullen,1.2138262984332886,2,10
